Timestamp,Resistance
4,126
108,144
212,126
317,126
421,135
526,135
630,117
734,126
838,126
942,126
1046,126
1151,117
1255,126
1360,126
1464,135
1568,135
1672,135
1777,144
1882,135
1987,135
2091,117
2195,117
2299,135
2403,126
2507,153
2611,126
2715,126
2820,135
2924,126
3028,126
3132,135
3236,135
3340,135
3445,135
3550,117
3654,126
3758,117
3863,135
3968,117
4072,135
4177,126
4282,135
4386,126
4490,126
4595,144
4699,135
4803,117
4907,135
5012,126
5116,126
5220,144
5326,135
5430,126
5534,135
5638,126
5743,135
5848,126
5953,117
6057,135
6163,126
6267,135
6372,126
6476,135
6580,117
6684,126
6789,117
6893,117
6998,144
7102,117
7207,135
7311,135
7415,135
7520,135
7624,126
7730,135
7834,144
7938,135
8042,144
8146,126
8250,126
8354,126
8459,126
8563,135
8668,135
8773,117
8878,135
8984,126
9088,135
9193,135
9298,126
9402,117
9507,135
9611,135
9715,144
9820,135
9924,126
10028,117
10133,144
10238,135
10343,135
10447,126
10551,144
10655,135
10759,126
10864,117
10969,135
11073,126
11178,117
11282,117
11386,144
11490,117
11595,126
11699,117
11804,126
11908,126
12012,135
12116,126
12220,117
12324,135
12428,126
12532,126
12636,135
12740,117
12845,135
12949,126
13053,126
13157,126
13261,126
13365,126
13469,135
13573,126
13678,126
13782,135
13888,126
13992,126
14096,144
14304,126
14408,135
14512,135
14616,126
14720,117
14824,126
14928,126
15032,126
15137,126
15241,135
15345,126
15449,135
15553,135
15657,126
15761,126
15865,126
15970,135
16074,135
16282,135
16386,117
16490,135
16594,144
16698,117
16802,117
16906,144
17010,117
17115,126
17220,126
17324,135
17428,108
17532,126
17636,126
17741,117
17845,135
17949,126
18053,135
18157,135
18261,117
18365,126
18469,135
18574,135
18678,126
18783,135
18888,144
18992,135
19097,135
19202,126
19307,126
19411,135
19515,135
19619,117
19723,135
19828,117
19933,153
20037,126
20141,126
20246,117
20350,117
20454,126
20558,126
20662,144
20766,117
20871,135
20975,135
21079,117
21183,126
21288,117
21392,135
21496,126
21601,126
21706,126
21811,135
21915,126
22020,135
22124,117
22228,117
22332,144
22437,117
22541,144
22646,126
22751,126
22855,126
22960,126
23065,144
23169,126
23274,135
23378,126
23482,117
23586,135
23690,126
23795,126
23900,135
24005,126
24111,126
24216,135
24320,126
24425,135
24529,126
24634,135
24738,135
24842,126
24947,135
25052,117
25156,126
25260,126
25364,126
25468,135
25573,135
25678,126
25783,135
25887,135
25991,144
26199,135
26303,126
26407,135
26511,126
26615,126
26719,135
26823,135
26928,117
27032,117
27136,135
27240,126
27344,126
27448,126
27552,126
27656,135
27760,117
27865,135
27969,126
28073,117
28178,126
28282,135
28386,135
28490,117
28594,135
28698,126
28802,126
28906,135
29010,126
29114,135
29218,126
29322,126
29426,144
29530,126
29634,135
29738,117
29842,126
29946,126
30050,117
30154,117
30259,153
30363,126
30468,126
30573,153
30677,135
30781,135
30886,144
30990,117
31095,126
31200,135
31305,126
31409,144
31513,135
31617,126
31721,126
31826,117
31930,126
32034,126
32139,126
32244,135
32349,126
32453,126
32558,135
32663,117
32767,135
32872,135
32976,126
33080,126
33184,126
33289,135
33393,144
33497,126
33706,144
33811,135
33916,117
34021,126
34125,126
34229,126
34333,126
34437,135
34541,135
34646,135
34750,135
34854,117
34958,144
35062,126
35167,126
35274,126
35378,135
35483,135
35587,126
35693,117
35798,135
35902,117
36008,126
36113,135
36217,126
36322,135
36426,126
36530,135
36634,117
36738,126
36843,126
36948,135
37053,126
37159,126
37263,117
37369,126
37473,135
37577,117
37681,135
37785,126
37890,135
37996,126
38100,126
38204,135
38310,135
38414,144
38518,135
38623,117
38728,144
38833,135
38938,135
39042,126
39147,126
39252,126
39357,135
39461,117
39565,135
39669,126
39773,117
39877,135
39982,117
40086,126
40190,126
40294,126
40398,135
40502,126
40607,117
40711,126
40815,135
40919,126
41023,126
41127,126
41232,135
41336,135
41440,144
41544,108
41649,126
41753,117
41857,126
41961,144
42065,126
42169,144
42273,108
42377,117
42481,126
42585,126
42689,126
42793,117
42897,126
